Space,direction,Cases,In_top42,AUC-ROC,AUC-PR,Pos_rate
Associational,down,33,13,0.6913992869875223,0.2836077514202284,0.1952662721893491
Economic,down,41,14,0.622046493902439,0.30666966899358017,0.24260355029585798
Electoral,down,10,5,0.7191823899371069,0.10709308920541714,0.05917159763313609
Governing,down,29,11,0.7141625615763547,0.286291089483057,0.17159763313609466
Individual,down,30,11,0.6956834532374101,0.29091930019149487,0.17751479289940827
Informational,down,29,11,0.6795566502463054,0.23917818715423106,0.17159763313609466
Associational,up,24,12,0.7548850574712643,0.2758006347389908,0.14201183431952663
Economic,up,39,16,0.6586785009861933,0.30405762422431865,0.23076923076923078
Electoral,up,7,5,0.8298059964726632,0.11651289810920958,0.04142011834319527
Governing,up,20,8,0.7416107382550335,0.18858723847044598,0.11834319526627218
Individual,up,17,6,0.6590557275541795,0.1317424163016642,0.10059171597633136
Informational,up,13,4,0.6392998027613412,0.1947858394286477,0.07692307692307693
Average,,24.333333333333332,9.666666666666666,0.7004472216156511,0.2271038114767738,0.14398422090729782
