year,infmort_new,gwcode
1970,16.85,713
1971,15.51,713
1972,14.02,713
1973,14.08,713
1974,12.94,713
1975,12.57,713
1976,10.6,713
1977,11.47,713
1978,9.91,713
1979,9.55,713
1980,9.83,713
1981,8.86,713
1982,8.08,713
1983,7.64,713
1984,6.86,713
1985,6.78,713
1986,6.305248191877357,713
1987,5.059746376235103,713
1988,5.302906692151699,713
1989,5.727161469620866,713
1990,5.236736074435827,713
1991,5.059553535757091,713
1992,5.177268555249607,713
1993,4.785364147806401,713
1994,5.053000914234884,713
1995,6.492174174008642,713
1996,6.687901035098376,713
1997,6.372699858452828,713
1998,6.634905404249464,713
1999,6.058301915352744,713
2000,5.823567708333333,713
2001,6.0457757129672,713
2002,5.369633406009126,713
2003,4.858274674979226,713
2004,5.264487677148173,713
2005,4.969365267720921,713
2006,4.5839004472098,713
2007,4.707649562370221,713
2008,4.565210752928961,713
2009,4.04927836446628,713
2010,4.234920978176641,713
2011,4.194647790751608,713
2012,3.6658297776205355,713
2013,3.9345641457071188,713
2014,3.599827813755032,713
2015,4.134345098149634,713
2016,3.9065510597302504,713
2017,3.9667858757758867,713
NA,NA,713
NA,NA,713
