gwcode,country,n
54,Dominica,43
55,Grenada,47
56,Saint Lucia,42
57,Saint Vincent,42
58,Antigua & Barbuda,40
60,Saint Kitts and Nevis,38
221,Monaco,61
223,Liechtenstein,61
315,Czechoslovakia,33
331,San Marino,61
396,Abkhazia,13
397,South Ossetia,13
403,Sao Tome and Principe,46
511,Zanzibar,2
591,Seychelles,45
680,South Yemen,24
817,South Vietnam,16
935,Vanuatu,41
970,Kiribati,42
971,Nauru,53
972,Tonga,51
973,Tuvalu,43
983,Marshall Islands,35
986,Palau,27
987,Micronesia,35
990,Samoa/Western Samoa,59
