gwcode,e_regionpol_6C
2,5
20,5
40,2
41,2
42,2
51,2
52,2
53,2
70,2
90,2
91,2
92,2
93,2
94,2
95,2
100,2
101,2
110,2
115,2
130,2
135,2
140,2
145,2
150,2
155,2
160,2
165,2
200,5
205,5
210,5
211,5
212,5
220,5
225,5
230,5
235,5
260,5
265,1
290,1
305,5
310,1
315,1
316,1
317,1
325,5
339,1
340,1
341,1
343,1
344,1
345,1
346,1
347,1
349,1
350,5
352,5
355,1
359,1
360,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
375,5
380,5
385,5
390,5
395,5
402,4
403,4
404,4
411,4
420,4
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,4
450,4
451,4
452,4
461,4
471,4
475,4
481,4
482,4
483,4
484,4
490,4
500,4
501,4
510,4
516,4
517,4
520,4
522,4
530,4
531,4
540,4
541,4
551,4
552,4
553,4
560,4
565,4
570,4
571,4
572,4
580,4
581,4
590,4
591,4
600,3
615,3
616,3
620,3
625,4
626,4
630,3
640,3
645,3
651,3
652,3
660,3
663,3
666,3
670,3
678,3
680,3
690,3
694,3
696,3
698,3
700,6
701,1
702,1
703,1
704,1
705,1
710,6
712,1
713,6
731,6
732,6
740,6
750,6
760,6
770,6
771,6
775,6
780,6
781,6
790,6
800,6
811,6
812,6
816,6
817,6
820,6
830,6
840,6
850,6
860,6
900,5
910,6
920,5
935,6
940,6
950,6
